Number,Teamname
1678,Citrus Circuits
1323,MadTown Robotics
3005,RoboChargers
6328,Mechanical Advantage
2056,OP Robotics
1690,Orbit
1796,RoboTigers
1771,North Gwinnett Robotics
254,The Cheesy Poofs
1756,Argos
1706,Ratchet Rockers
604,Quixilver
2910,Jack in the Bot
4414,HighTide
5940,BREAD
4613,Barker Redbacks
3478,PrepaTec - LamBot
3467,Windham Windup
9483,İstanbul Wildcats
359,Hawaiian Kids
368,Team Kika Mana
3847,Spectrum -△◅
2075,Enigma Robotics
1778,Chill Out
2974,Walton Robotics
1731,Fresta Valley Robotics Club
2767,Stryke Force
987,HIGHROLLERS
5460,Strike Zone
4391,BraveBots
4362,CSPA Gems
125,NUTRONs
2481,Roboteers
27,Team RUSH
114,Eaglestrike
4635,PrepaTec - Botbusters
6800,Valor
33,Killer Bees
3683,Team DAVE
5712,Hemlock's Gray Matter
4766,Team SCREAM Jr.
6329,The Bucks' Wrath
2539,Krypton Cougars
7769,The CREW
2200,MMRambotics
4481,Team Rembrandts
1261,Robo Lions
2054,Tech Vikes
2642,Pitt Pirates
3276,TOOLCATS
3538,RoboJackets
3663,CPR - Cedar Park Robotics
9496,Lynk
180,S.P.A.M.
4522,Team SCREAM
449,The Blair Robot Project
5813,Morpheus
2811,StormBots
5687,The Outliers
103,Cybersonics
1807,Redbird Robotics
133,B.E.R.T.
7407,Wired Boars
1676,The Pascack PI-oneers
581,Blazing Bulldogs
2590,Nemesis
2521,SERT
2046,Bear Metal
7457,suPURDUEper Robotics
8013,Boston Lions
131,CHAOS
6672,Fusion Corps
1701,RoboCubs
6459,AG Robotik
5895,Peddie Robotics
5951,Makers Assemble
176,Aces High
118,Robonauts
7021,TC Robotics
1114,Simbotics
3061,Huskie Robotics
1787,The Flying Circuits
8044,Denham Venom
4039,MakeShift Robotics
1591,Greece Gladiators
694,StuyPulse
5436,Cyber Cats
353,POBots
1699,Robocats
2468,Team Appreciate
7028,Binary Battalion
4206,Robo Vikes
3173,IgKnighters
5804,TORCH
9128,ITKAN Robotics
4499,The Highlanders
4230,TopperBots
4607,C.I.S.
6443,AEMBOT
4795,Eastbots
8608,Alpha Bots
1683,Techno Titans
2713,Red Hawk Robotics
1577,Steampunk
3339,BumbleB
88,TJ²
4028,The Beak Squad
4476,W.A.F.F.L.E.S.
1318,Issaquah Robotics Society
1391,The Metal Moose
1325,Inverse Paradox
3357,COMETS
1987,Broncobots
3539,Byting Bulldogs
1816,"The Green Machine"""""
8033,Highlander Robotics
3310,Black Hawk Robotics
1477,Texas Torque
2129,Ultraviolet
4946,The Alpha Dogs
111,WildStang
1727,REX
2122,Team Tators
9752,ITKAN Robotics Jr
3572,Wavelength
3314,Mechanical Mustangs
2614,Mountaineer Area RoboticS (...
1732,Hilltopper Robotics
1156,Under Control
3070,Team Pronto 3070
1768,Nashoba Robotics
4611,OZone Robotics
9084,Octobots
78,AIR STRIKE
2145,HAZMATS
1189,Gearheads
1923,The MidKnight Inventors
868,TechHOUNDS
9401,Midas' Mayhem
3175,Knight Vision
3604,Goon Squad
5152,Alotobots
3937,Breakaway
5419,Berkelium
2522,Royal Robotics
6619,GravitechX
6090,Wayland Wildcats
4678,CyberCavs
841,The BioMechs
876,Thunder Robotics
1501,Team THRUST
9442,Miso Mechanics
360,The Revolution
4738,Patribots
910,The Foley Freeze
5406,Celt-X
2959,Robotarians
687,The Nerd Herd
4400,Cerbotics - Peñoles
16,Bomb Squad
5809,The Jesubots 5809
7763,Carrborobotics
836,The RoboBees
59,RamTech
6081,Digital Dislocators
67,The HOT Team
2611,Jacktown Vectors
195,CyberKnights
624,CRyptonite
148,Robowranglers
829,The Digital Goats
4043,NerdHerd
9023,Future Martians
5472,The Wyld Stallyns
4451,ROBOTZ Garage
6147,Tonkabots
1058,PVC Pirates
2659,RoboWarriors
2338,Gear It Forward
5907,CC Shambots
3414,Hackbots
5934,Crowbotics
6036,Peninsula Robotics
1506,Metal Muscle
179,Children of the Swamp
177,Bobcat Robotics
4976,Revolt Robotics
9312,NERD Spark
9072,TigerBots
343,Metal-In-Motion
6002,ZooBOTix
9408,Warbots
3006,Red Rock Robotics
4143,MARS/WARS
1718,The Fighting Pi
1574,MisCar
2067,Apple Pi
4152,Hoya Robotics
316,LUNATECS
341,Miss Daisy
461,Westside Boiler Invasion
2231,OnyxTronix
2530,Inconceivable
5166,Fabricators
1540,Flaming Chickens
4728,ROCORI Ratcheteers
1629,Garrett Coalition (GaCo)
2930,Sonic Squirrels
3201,Ross Rambotics
325,Respawn Robotics
1710,The Ravonics Revolution
2877,LigerBots
5199,Robot Dolphins From Outer S...
1403,Team 1403 Cougar Robotics
1023,Bedford Express
1741,Red Alert
9098,FireHawks
5801,CTC Inspire
2357,System Meltdown
3676,Redshift Robotics
5557,BB-R8ERS
7558,ALT-F4
1148,Harvard Westlake Robotics
3322,Eagle Evolution
2630,Thunderbolts
2052,KnightKrawler
5614,Team Sycamore
7157,μBotics
4270,Crusaders
2471,Team Mean Machine
2485,W.A.R. Lords
3656,Dexter Dreadbots
857,Superior Roboworks
1730,Team Driven
2601,Steel Hawks
3950,RoboGym Robotics
4779,RoboSapiens
9609,Paraducks
2607,The Fighting RoboVikings
8011,Guangzhou Wayi
4272,Maverick Robotics
2073,EagleForce
3161,Tronic Titans
85,B.O.B. (Built on Brains)
4450,Olympia Robotics Federation
548,Robostangs
4130,The Blue Devils
6919,The Commodores
3767,TC Titans
245,Adambots
971,Spartan Robotics
5010,Tiger Dynasty
7197,Mountie Megabots
9535,The Knack
1538,The Holy Cows
3015,Ranger Robotics
5675,WiredCats
8517,Bounty Hunters
1076,Pi Hi Samurai
1747,Harrison Boiler Robotics
3476,Code Orange
670,Homestead Robotics
422,The Mech Tech Dragons
1922,Oz-Ram
3647,Millennium Falcons
4698,Raider Robotics
818,The Steel Armadillos
2194,Fondy Fire
4907,Thunderstamps
1468,Hicksville J-Birds
8727,Glitch 2.0
166,Chop Shop
2443,Blue Thunder
4063,TriKzR4Kidz
8613,Barker RedBbacks
1714,MORE Robotics
498,The Cobra Commanders
4237,Team Lance-A-Bot
292,PantherTech
3128,The Aluminum Narwhals
1294,Pack of Parts
4564,Orange Chaos
7226,Error 404
930,Mukwonago BEARs
216,More RoboDawgs
972,Iron Claw
1781,Lindblom Electric Eagles
4917,Sir Lancerbot
5735,Control Freaks
4967,That ONE Team-OurNextEngineers
3620,Average Joes
1153,Timberwolves
862,Lightning Robotics
610,Crescent Coyotes
6424,Stealth Panther Robotics
3729,The Raiders
2370,IBOTS
870,TEAM R. I. C. E.
1025,Impi Robotics
6366,RAM Rodz Robotics
3506,YETI Robotics
7426,PAIR OF DICE ROBOTICS
108,SigmaC@T Robotics Team
5484,Career Academy Robotics - W...
3940,CyberTooth
5817,Uni-Rex
4342,Demon Robotics
7762,AutoPilots
4405,The Atoms Family
5414,Pearadox
8873,Rockefeller Robotics
1414,IHOT
4539,KAOTIC Robotics
2992,The S.S. Prometheus
5338,ACL RoboLoCo
5409,Chargers
7421,PrepaTec - OVERTURE
2869,Regal Eagles
1218,SCH Robotics
3075,Ha-Dream Team
4998,TESLA
558,Elm City Robo Squad
6995,NOMAD
1561,ROBODUCKS
5847,Ironclad
8576,Golden Warriors Robotics
8806,Our Lady of Providence Drea...
7451,AvengerRobotics
1168,Malvern Robotics
7174,Charger Robotics
492,Titan Robotics Club
6947,Savage Tumaz
7056,The F.A.S.T. Team - Fowlerv...
231,High Voltage
379,The RoboCats
3655,Tractor Technicians
3641,The Flying Toasters
3419,RoHawks
4909,Bionics
3603,Cyber Coyotes
3136,Official Robotics Construct...
4020,Cyber Tribe
5024,Raider Robotics
5216,E-Ville Empire
2582,PantherBots
8122,Mechanical Mustaches
4646,Wildcard Robotics
8103,Knight Robotics
3637,The Daleks
2823,The Automatons
5114,Titanium Tigers
2383,Ninjineers
3707,TechnoDogs
5013,Trobots
3990,Tech for Kids
5667,The Digital Eagles
5172,Gators
4421,FORGE Robotics
2470,Team BJORG
4509,Mechanical Bulls
1740,Cyber Colonels
7312,T3
3245,Ravens
2926,Robo Sparks
3130,The ERRORs
115,MVRT
865,WARP7
3534,House of Cards
973,Greybots
2337,EngiNERDs
3630,Stampede
1305,Ice Cubed
2102,Team Paradox
2106,The Junkyard Dogs
4415,EPIC Robotz
9036,Ramen Robotics
2557,SOTAbots
2491,NoMythic
236,Techno-Ticks
503,Frog Force
2830,Riverside RoboTigers
5811,BONDS
3546,Buc'n'Gears
1507,Warlocks
597,The Wolverines
9443,Aluminum Panthers
3132,Thunder Down Under
51,Wings of Fire
5851,Striking Vikings
1640,Sab-BOT-age
5885,Villanova WiredCats
8570,Binary-Bolts Aditya Birla W...
8085,MOJO
4285,Camo-Bots
6517,So-Kno Robo
5822,WolfByte
4107,Team Storm
4500,RoboHounds
6978,QuickStrike Niagara
70,More Martians
9418,Pastabots
2252,The Mavericks
302,The Dragons
48,Team E.L.I.T.E.
9452,LHS Steel Stingers
4392,The Deceivers
8513,Sisters 1st
7166,Red Thunder Robotics
456,Siege Robotics
6933,Archytas
2718,Team OKC e'possums (Σ 1/n! ...
3928,Team Neutrino
1250,Gator-Bots
2714,♨️ BBQ ♨️
8738,Slice
1657,Hamosad
1388,Eagle Robotics
1736,Robot Casserole
122,NASA Knights
5684,Iron Mechs
8592,Newton²
6340,The Marist Manatees
5458,Digital Minds
2706,Merge Robotics
424,Rust Belt Robotics
5530,The Greenhills Lawnmowers
100,The Wildhats
5181,Explorer Robotics
5990,TRIGON
2851,Crevolution
234,Cyber Blue
1595,The Dragons
2881,Lady Cans
935,RaileRobotics
2288,Hydra Robotics
1024,Kil-A-Bytes
1986,Team Titanium
7454,Huskies on Hogs
2403,Plasma Robotics
427,LANCE-A-LOT
686,Bovine Intervention
1102,M'Aiken Magic
7525,Pioneers
620,Warbots
1296,Full Metal Jackets
2137,The Oxford RoboCats
5431,Titan Robotics
1208,Metool Brigade
3501,Firebots
3146,GRANBY GRUNTS
1405,Finney Falcons
1108,Panther Robotics
2648,Infinite Loop
4099,The Falcons
4048,Redshift
144,Operation Orange
399,Eagle Robotics
4329,Lutheran Roboteers
8709,Pathfinder Tech
1410,The Kraken
4828,RoboEagles
6017,PrepaTec - Cyberius + Abtom...
5827,Code Purple
4488,Shockwave
6941,IronPulse Robotics
494,Martians
6647,PrepaTec - VOLTEC Robotics
4920,Belle River Boltheads
2386,Trojans
8088,Bionic Panthers
3494,The Quadrangles
5144,LISD TECHnicians
9406,TechJunior
58,The Riot Crew
68,Truck Town Thunder
4381,Twisted Devils
1729,Team Inconceivable!
4982,Olympus Robotics
2240,Brute Force
226,Hammerheads
3674,CloverBots
8096,Cache Money
7617,RoboBlazers
9136,Rampage
93,NEW Apple Corps
4458,Infernobotix
5676,The H.E.R.O.E.S
3255,SuperNURDs
2722,Charge Robotics
1241,THEORY6
4125,Confidential
9094,The Earthquakers
2935,NACI Robotics
9432,Team 8-Bit
5912,Heritage Robotics
5411,RoboTalons
9140,The Robobots
555,Montclair Robotics
999,MechaRAMS
4388,Ridgebotics
6569,Gladiators
5736,Kingsmen Robotics
4336,Ramageddon Robotics
1899,Saints Robotics
4122,Ossining O-Bots
888,Robotiators
6369,Mercenary Robotics
6528,Terror Bytes
3309,Friarbots
840,Aragon Robotics Team
5422,Stormgears FRC
3293,OtterBots
6300,Northwood School Robotics
2634,The Gryphons
6968,Team Pi
8841,OTTER
7539,Dhirubhai Ambani Internatio...
9062,Critical Circuits
3196,Team SPORK
7039,❌⭕
1285,The Biggest Birds
3835,Vulcan
3648,Sparta Robotica
6377,Howdy Bots
7042,Poly Rabbotics
219,Team Impact 219
4343,MaxTech
175,Buzz Robotics
272,Cyber Crusaders
3882,Lunas
931,Perpetual Chaos
2584,Flame of The West
5584,ICRobotics
1100,Inverse Polarity
1622,Team Spyder
340,G.R.R. (Greater Rochester R...
9642,I.N.T. Robotics
222,Tigertrons
5719,Pink Titans
1493,Falcons
3045,Gear Gremlins
1155,SciBorgs
6423,Ward Melville Iron Patriots
4774,The Drop Bears
5126,Electromagnetic Panthers (E...
1625,Winnovation
4469,R.A.I.D. (Raider Artificial...
7257,Semiconductors
7154,TheROK
3193,Falco Tech
8802,Milwaukee United
8808,SWLA Tech Pirates
4546,Shockwave
365,Miracle Workerz
2720,Red Watch Robotics
4403,PrepaTec - ROULT - Peñoles
3256,WarriorBorgs
4786,Nicolet FEAR
4533,Phoenix
1089,Team Mercury
2465,KauaiBots
4145,WorBots 4145
6802,Mean Caimans
5572,ROSBOTS
4188,Columbus Space Program
801,Horsepower
8159,Golden Horn
4027,Centre Punch
294,Beach Cities Robotics
8581,PizzaByte Robotics
1937,Elysium
8884,Knight Owls
1785,Blue Springs Robocats
696,Circuit Breakers
6731,Record Robotics
1086,Blue Cheese
6639,The Mechanical Minds
4068,Bearbotics
9785,9785
467,Colonials
6114,Hamilton CyberHawks
1599,CircuiTree
4065,Nerds of Prey
4467,Titanium Titans
2135,Presentation Invasion
7848,WI-FIghterz
244,RoboDawgs 3D
8081,UMEI Lightning Robotics
4682,CyBears
2996,Cougars Gone Wired
6560,Charging Champions
6894,Iced Java
2373,The Crickets
3926,MPArors
135,Penn Robotics Black Knights
6911,SO BOTZ
45,TechnoKats Robotics Team
8725,MistyPanther
6413,Degrees of Freedom
2228,CougarTech
3184,Blaze Robotics
346,RoboHawks
6223,Arsenal Engineering
6121,RoboVikes
2429,La Cañada Engineering Club
1983,Skunk Works Robotics
3218,Panther Robotics
781,Kinetic Knights
8814,Blackhole
5903,ThorBots
695,Bison Robotics
6838,X-SHARC
1684,The Chimeras
2638,Rebel Robotics
9410,PowerHouse
1912,Team Combustion
5843,Flurb
2945,Steel Mustangs
9092,Tower Robotics
4536,MinuteBots
1425,Error Code Xero
4141,Monarch Robotics
9016,Syosset Robotics
3039,Wildcat Robotics
894,The Power Chargers
1764,Liberty Robotics
324,Chips
3464,Sim-City
7414,RetroRobotics
6150,BlueBotics 6150
3799,Electric Fire
1209,Robo Hornets
9015,Questionable Engineering
3616,Team Phenomena 3616
5587,Titan Robotics
1038,Lakota Robotics
6615,Bellevillains
230,Gaelhawks
2905,Sultans of Turkiye
5084,Team FridgeBot
190,Gompei and the H.E.R.D.
5612,Robo-Raptors
5715,DRC
5348,Charger Robotics
1481,The Riveters
6498,Castle Robotics
8048,East Palo Alto Churrobots
3171,HURRICANES
2834,Bionic Black Hawks
3373,Team RoboHawk
1711,RAPTORS
2876,DevilBotz
3487,Red Pride Robotics
7501,Golden Gears
488,Team XBOT
5892,Energy HEROs
2586,Copper Bots
4201,The Vitruvian Bots
4663,Cyber Tigers
2702,Rebels
2197,Las Pumas
7768,The AutoMatons
2883,F.R.E.D (FIRST Robotics Eng...
329,Mohawks
6657,Arborbotics
539,Titan Robotics
5690,SubZero Robotics
810,The Mechanical Bulls
2083,Team Blitz
